X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.4543456,-0.2336985,-0.010185
0,1,0.8770735,-0.5917807,0.4967003
0,2,0.8665807,-0.9042519,0.9106278
0,3,1.118382,-0.8803138,1.41688
0,4,0.9988722,-0.9519309,2.076625
0,5,0.5557649,-1.080821,2.533522
0,6,0.5225266,-1.09113,2.913537
0,7,1.000016,-1.141577,3.368665
0,8,0.9993497,-1.155033,4.112314
0,9,0.5220342,-1.0999,4.570502
0,10,0.5220342,-1.0999,4.929498
0,11,0.9993501,-1.155032,5.387687
0,12,1.000013,-1.141579,6.131337
0,13,0.5225287,-1.091132,6.586463
0,14,0.5557653,-1.08082,6.966474
0,15,0.9988692,-0.9519336,7.423375
0,16,1.118385,-0.8803113,8.083113
0,17,0.8665874,-0.9042522,8.589366
0,18,0.8770733,-0.5917795,9.003303
0,19,0.4543153,-0.233696,9.510221
1,0,0.4153951,-0.7941371,0.02227674
1,1,0.3716573,-0.5799645,0.5277109
1,2,0.4802922,-0.6428385,1.002669
1,3,0.6427862,-0.8012626,1.502081
1,4,0.5499974,-0.7359338,1.999343
1,5,0.5085416,-0.5920078,2.531025
1,6,0.5452747,-0.6138588,2.971381
1,7,0.58315,-0.8803514,3.487219
1,8,0.590619,-0.8737522,4.011584
1,9,0.5867363,-0.6240956,4.532553
1,10,0.5867363,-0.6240955,4.967447
1,11,0.5906191,-0.8737522,5.488416
1,12,0.5831493,-0.8803514,6.012785
1,13,0.5452752,-0.6138591,6.528618
1,14,0.5085407,-0.5920077,6.968981
1,15,0.5499986,-0.735934,7.500662
1,16,0.6427856,-0.8012614,7.997925
1,17,0.4802929,-0.6428405,8.497335
1,18,0.3716574,-0.5799645,8.972286
1,19,0.4153938,-0.7941383,9.477721
2,0,0.4386236,-1.201053,0.03274272
2,1,0.1786254,-1.095161,0.5582091
2,2,0.08195828,-0.8210912,1.097559
2,3,0.2016465,-0.7230949,1.592194
2,4,0.2464684,-0.5506304,1.931085
2,5,0.07823522,-0.5647678,2.467849
2,6,0.1226752,-0.5697185,3.082472
2,7,0.321863,-0.629051,3.598119
2,8,0.3401465,-0.6136279,3.913338
2,9,0.147594,-0.5588871,4.438514
2,10,0.1475938,-0.5588872,5.061485
2,11,0.3401466,-0.6136282,5.586662
2,12,0.3218645,-0.6290551,5.901877
2,13,0.1226745,-0.5697191,6.417533
2,14,0.07823534,-0.5647679,7.032149
2,15,0.2464681,-0.550631,7.568916
2,16,0.2016469,-0.723097,7.907805
2,17,0.08195936,-0.8210934,8.402436
2,18,0.1786272,-1.095165,8.941792
2,19,0.4386234,-1.201056,9.467258
3,0,1.118043,-1.527476,0.03109299
3,1,0.8860306,-1.665195,0.5506492
3,2,0.6700863,-1.719251,1.069768
3,3,0.5341598,-1.751567,1.563528
3,4,0.40335,-1.668628,1.986946
3,5,0.3188036,-1.704923,2.496796
3,6,0.2902524,-1.729829,3.035791
3,7,0.3048638,-1.756507,3.546559
3,8,0.2851829,-1.745845,3.965523
3,9,0.2458944,-1.736983,4.480421
3,10,0.2458945,-1.736983,5.019578
3,11,0.2851827,-1.745845,5.534471
3,12,0.3048639,-1.756507,5.953445
3,13,0.2902521,-1.729829,6.464207
3,14,0.3188036,-1.704922,7.00321
3,15,0.40335,-1.668628,7.513054
3,16,0.5341575,-1.751568,7.93646
3,17,0.6700866,-1.719251,8.43023
3,18,0.8860319,-1.665195,8.94935
3,19,1.118043,-1.527477,9.468906
4,0,1.749061,-1.819386,0.02128985
4,1,1.530773,-2.061318,0.5356414
4,2,1.394547,-2.172484,1.0371
4,3,1.349878,-2.229693,1.524944
4,4,1.23768,-2.322619,2.012186
4,5,1.061694,-2.416193,2.503618
4,6,1.019045,-2.457629,2.998695
4,7,1.092388,-2.467623,3.497255
4,8,1.071963,-2.489474,3.998495
4,9,0.9591621,-2.517241,4.499732
4,10,0.9591621,-2.517241,5.000268
4,11,1.071964,-2.489474,5.501505
