X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.264345,-0.04668915,0.009180825
0,1,0.1466175,-0.1687623,0.4997907
0,2,0.1407454,-0.1898218,1.011719
0,3,0.2595952,-0.06617221,1.507384
0,4,0.4701966,-0.02468311,2.001756
0,5,0.2576724,-0.09502123,2.505498
0,6,0.2659253,-0.1089791,2.999034
0,7,0.4867865,-0.05843684,3.5
0,8,0.2659248,-0.1089794,4.000968
0,9,0.2576716,-0.09502165,4.494501
0,10,0.4701959,-0.02468324,4.998242
0,11,0.259594,-0.06617271,5.492626
0,12,0.1407446,-0.1898225,5.988282
0,13,0.1466246,-0.1687561,6.500184
0,14,0.2643474,-0.04668797,6.990816
1,0,0.4962791,-0.5057411,0.000415687
1,1,0.4975571,-0.5398746,0.5005116
1,2,0.4989718,-0.5727371,1.000635
1,3,0.496808,-0.5346442,1.500481
1,4,0.497673,-0.5559612,2.000737
1,5,0.4985089,-0.5741338,2.501017
1,6,0.4992868,-0.5843354,2.999661
1,7,0.4993607,-0.5864422,3.5
1,8,0.4992868,-0.5843354,4.000339
1,9,0.4985089,-0.5741338,4.498987
1,10,0.497673,-0.5559612,4.999262
1,11,0.496808,-0.5346441,5.499519
1,12,0.4989718,-0.572737,5.999367
1,13,0.4975571,-0.5398745,6.499491
1,14,0.4962791,-0.5057409,6.999592
2,0,0.7443874,-0.9769356,-0.008803855
2,1,0.8737674,-0.9229639,0.5012627
2,2,0.8679938,-0.9511137,0.9897615
2,3,0.7361377,-1.008988,1.493405
2,4,0.5092849,-1.079252,1.999625
2,5,0.735054,-1.046563,2.496628
2,6,0.7432635,-1.062882,3.000284
2,7,0.5278868,-1.117924,3.5
2,8,0.7432643,-1.062882,3.999716
2,9,0.7350557,-1.046563,4.503373
2,10,0.5092859,-1.079252,5.000377
2,11,0.7361362,-1.008989,5.506598
2,12,0.8679952,-0.9511122,6.010238
2,13,0.8737671,-0.9229641,6.498737
2,14,0.7443847,-0.976937,7.008804
3,0,1.445552,-0.9284222,-0.001117806
3,1,1.369977,-1.123581,0.4981871
3,2,1.188399,-1.376672,0.9972411
3,3,1.27065,-1.277741,1.496184
3,4,1.258153,-1.31451,1.998816
3,5,1.114537,-1.459094,2.500767
3,6,1.082927,-1.487283,2.996796
3,7,1.164385,-1.430676,3.5
3,8,1.082927,-1.487283,4.0032
3,9,1.114538,-1.459093,4.499233
3,10,1.258153,-1.31451,5.001175
3,11,1.27065,-1.277741,5.503818
3,12,1.1884,-1.376672,6.002769
3,13,1.369976,-1.123582,6.501812
3,14,1.445552,-0.9284228,7.001118
4,0,1.946778,-1.055202,-0.00138787
4,1,1.890957,-1.25814,0.4980503
4,2,1.788704,-1.49633,0.9974439
4,3,1.832436,-1.401109,1.496602
4,4,1.80463,-1.478454,1.998848
4,5,1.728883,-1.613549,2.50088
4,6,1.70395,-1.65528,2.996848
4,7,1.732019,-1.622697,3.5
4,8,1.70395,-1.65528,4.003154
4,9,1.728882,-1.613549,4.499121
4,10,1.80463,-1.478454,5.00115
4,11,1.832436,-1.401109,5.503398
4,12,1.788704,-1.496331,6.002556
4,13,1.890957,-1.258141,6.501949
4,14,1.946778,-1.055202,7.001388
5,0,2.460476,-1.131232,-0.00143968
