X Grid Position, Y  Grid Position, VecX, VecY, VecZ,,,,,,,,,,,,,
0,0,0.3636597,0.1092973,0.01530142,,,,0.3636597,0.01530142,0.1092973,,,X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,1,0.3223788,0.06485172,0.5145954,,,,0.3223788,0.5145954,0.06485172,,,0,0,0.3636597,0.1092973,0.01530142
0,2,0.6354329,0.03496131,1.010348,,,,0.6354329,1.010348,0.03496131,,,0,1,0.3223788,0.06485172,0.5145954
0,3,0.6437177,3.21E-05,1.507993,,,,0.6437177,1.507993,3.21E-05,,,0,2,0.6354329,0.03496131,1.010348
0,4,0.3294561,-0.0182786,2.017757,,,,0.3294561,2.017757,-0.0182786,,,0,3,0.6437177,3.21E-05,1.507993
0,5,0.3641886,0.0408405,2.499803,,,,0.3641886,2.499803,0.0408405,,,0,4,0.3294561,-0.0182786,2.017757
0,6,0.685693,0.00501782,2.997767,,,,0.685693,2.997767,0.00501782,,,0,5,0.3641886,0.0408405,2.499803
0,7,0.7558731,-0.03714761,3.5,,,,0.7558731,3.5,-0.03714761,,,0,6,0.685693,0.00501782,2.997767
0,8,0.685693,0.005017662,4.002233,,,,0.685693,4.002233,0.005017662,,,0,7,0.7558731,-0.03714761,3.5
0,9,0.364189,0.04084054,4.500194,,,,0.364189,4.500194,0.04084054,,,0,8,0.685693,0.005017662,4.002233
0,10,0.329456,-0.01827859,4.982246,,,,0.329456,4.982246,-0.01827859,,,0,9,0.364189,0.04084054,4.500194
0,11,0.6437171,3.23E-05,5.492006,,,,0.6437171,5.492006,3.23E-05,,,0,10,0.329456,-0.01827859,4.982246
0,12,0.635433,0.03496137,5.989651,,,,0.635433,5.989651,0.03496137,,,0,11,0.6437171,3.23E-05,5.492006
0,13,0.3223801,0.06485221,6.485402,,,,0.3223801,6.485402,0.06485221,,,0,12,0.635433,0.03496137,5.989651
0,14,0.3636608,0.1092975,6.984696,,,,0.3636608,6.984696,0.1092975,,,0,13,0.3223801,0.06485221,6.485402
1,0,0.4828276,-0.388199,0.003076913,,,,0.4828276,0.003076913,-0.388199,,,0,14,0.3636608,0.1092975,6.984696
1,1,0.4829076,-0.4216653,0.5033671,,,,0.4829076,0.5033671,-0.4216653,,,1,0,0.4828276,-0.388199,0.003076913
1,2,0.4832321,-0.4559696,1.003685,,,,0.4832321,1.003685,-0.4559696,,,1,1,0.4829076,-0.4216653,0.5033671
1,3,0.4838096,-0.4900985,1.504028,,,,0.4838096,1.504028,-0.4900985,,,1,2,0.4832321,-0.4559696,1.003685
1,4,0.4846168,-0.5227723,2.004393,,,,0.4846168,2.004393,-0.5227723,,,1,3,0.4838096,-0.4900985,1.504028
1,5,0.4841381,-0.4728328,2.498554,,,,0.4841381,2.498554,-0.4728328,,,1,4,0.4846168,-0.5227723,2.004393
1,6,0.4839723,-0.4761369,2.999257,,,,0.4839723,2.999257,-0.4761369,,,1,5,0.4841381,-0.4728328,2.498554
