X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.2476599,-0.1873291,0.01129742
0,1,0.133052,-0.3218096,0.5013705
0,2,0.1290354,-0.3536096,1.013071
0,3,0.2410012,-0.2441521,1.512156
0,4,0.4505951,-0.2124808,2.006315
0,5,0.2449083,-0.3000225,2.510724
0,6,0.2476736,-0.3335477,3.006391
0,7,0.4676176,-0.2958173,3.507195
0,8,0.2560981,-0.3653404,4.009381
0,9,0.253181,-0.3759786,4.498333
0,10,0.4683709,-0.3229572,5
0,11,0.253181,-0.3759786,5.501667
0,12,0.2560972,-0.3653411,5.990619
0,13,0.4676191,-0.2958173,6.492803
0,14,0.2476748,-0.3335471,6.993609
0,15,0.2449141,-0.3000194,7.489283
0,16,0.4505941,-0.212481,7.993681
0,17,0.2409939,-0.2441557,8.487857
0,18,0.1290362,-0.3536086,8.986926
0,19,0.1330537,-0.3218083,9.498616
0,20,0.2476611,-0.1873288,9.988693
1,0,0.4890884,-0.6452284,-0.002622946
1,1,0.4905867,-0.6909813,0.4973554
1,2,0.4923643,-0.7366138,0.9974222
1,3,0.4897238,-0.7125489,1.498771
1,4,0.4911532,-0.749123,1.999227
1,5,0.4927324,-0.7838169,2.499795
1,6,0.4943912,-0.8116608,2.999518
1,7,0.4954514,-0.8325738,3.500459
1,8,0.4964964,-0.8501066,4.001469
1,9,0.4970532,-0.859781,4.498831
1,10,0.4970883,-0.8616806,5
1,11,0.4970532,-0.859781,5.501169
1,12,0.4964964,-0.8501067,5.998531
1,13,0.4954514,-0.8325738,6.499541
1,14,0.4943912,-0.8116608,7.000482
1,15,0.4927324,-0.7838171,7.500204
1,16,0.4911532,-0.7491234,8.00077
1,17,0.4897238,-0.7125491,8.501227
1,18,0.4923643,-0.7366139,9.002578
1,19,0.4905867,-0.6909813,9.502645
1,20,0.4890884,-0.6452284,10.00262
2,0,0.7430411,-1.116147,-0.01732778
2,1,0.8721078,-1.072735,0.4930762
2,2,0.868835,-1.112223,0.9821338
2,3,0.7357003,-1.188548,1.484932
2,4,0.5155959,-1.277505,1.992101
2,5,0.7425764,-1.257142,2.489156
2,6,0.7463489,-1.295568,2.99244
2,7,0.540405,-1.372203,3.493546
2,8,0.7566371,-1.333633,3.993518
2,9,0.7541999,-1.34614,4.49933
2,10,0.5440243,-1.403491,5
2,11,0.7541999,-1.34614,5.50067
2,12,0.756639,-1.333632,6.006477
2,13,0.5404035,-1.372203,6.506457
2,14,0.7463493,-1.295567,7.007566
2,15,0.7425744,-1.257143,7.510836
2,16,0.515596,-1.277505,8.007887
2,17,0.7357061,-1.188545,8.515074
2,18,0.8688353,-1.112223,9.017863
