X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.4909982,-0.1986638,0.001617704
0,1,0.5036061,-0.1941329,0.5055009
0,2,0.8483449,-0.3783358,0.9967356
0,3,0.9463258,-0.5477276,1.490363
0,4,0.979508,-0.6552358,1.987754
0,5,0.9936362,-0.7273475,2.487738
0,6,1.000695,-0.7776212,2.989257
0,7,1.004548,-0.8122564,3.491739
0,8,1.006649,-0.8342059,3.994819
0,9,1.007592,-0.8448959,4.498238
0,10,1.007592,-0.8448965,5.001762
0,11,1.006649,-0.8342066,5.505182
0,12,1.004548,-0.8122562,6.00826
0,13,1.000695,-0.7776212,6.510743
0,14,0.9936363,-0.727348,7.012267
0,15,0.9795085,-0.6552386,7.512241
0,16,0.9463269,-0.5477294,8.009632
0,17,0.8483449,-0.378336,8.503256
0,18,0.5036072,-0.1941332,8.994497
0,19,0.4909831,-0.1986625,9.498398
1,0,0.4922689,-0.7298098,-0.005011941
1,1,0.4900072,-0.7088007,0.4955301
1,2,0.4912528,-0.7470606,0.9973722
1,3,0.4925288,-0.782416,1.497439
1,4,0.4937724,-0.8141887,1.997598
1,5,0.4949197,-0.8416906,2.497856
1,6,0.4959126,-0.8643487,2.99821
1,7,0.4967014,-0.881716,3.498652
1,8,0.4972486,-0.8934677,3.999161
1,9,0.4975286,-0.899395,4.499722
1,10,0.4975286,-0.899395,5.000278
1,11,0.4972486,-0.8934677,5.500839
1,12,0.4967014,-0.881716,6.001348
1,13,0.4959126,-0.8643488,6.501791
1,14,0.4949197,-0.8416905,7.002143
1,15,0.4937724,-0.8141886,7.502402
1,16,0.4925288,-0.7824161,8.002559
1,17,0.4912528,-0.7470606,8.502627
1,18,0.4900072,-0.7088006,9.004469
1,19,0.4922689,-0.7298097,9.505012
2,0,0.4986292,-1.255398,-0.01167493
2,1,0.5153069,-1.250126,0.4843304
2,2,0.1561725,-1.135699,0.9975355
2,3,0.06273238,-1.046913,1.50332
2,4,0.03228518,-1.009059,2.005998
2,5,0.02017138,-0.9954268,2.506572
2,6,0.01477044,-0.9925962,3.005956
2,7,0.0122343,-0.9940383,3.504644
2,8,0.01105488,-0.9963975,4.00293
2,9,0.010589,-0.9979408,4.501009
2,10,0.01058877,-0.9979401,4.998991
2,11,0.01105483,-0.996397,5.497066
2,12,0.01223439,-0.9940388,5.995352
2,13,0.01477038,-0.9925964,6.494046
2,14,0.02017122,-0.9954264,6.993429
2,15,0.03228425,-1.009059,7.494001
2,16,0.06273103,-1.046912,7.996672
2,17,0.1561715,-1.135698,8.502453
2,18,0.515311,-1.250125,9.015673
2,19,0.4986356,-1.255398,9.511681
3,0,1.124414,-1.593245,-0.01999986
3,1,1.13983,-1.5804,0.4755586
3,2,0.8851727,-1.761292,0.9818161
3,3,0.7142876,-1.845923,1.481119
3,4,0.6093965,-1.893657,1.982696
3,5,0.5444459,-1.926203,2.485254
3,6,0.503495,-1.950314,2.988243
3,7,0.477837,-1.967982,3.491465
3,8,0.4627478,-1.979712,3.994829
3,9,0.4557459,-1.985587,4.498271
3,10,0.4557449,-1.985587,5.001729
3,11,0.4627478,-1.979712,5.505168
3,12,0.477837,-1.967983,6.008527
3,13,0.5034946,-1.950314,6.511756
3,14,0.5444456,-1.926203,7.01475
3,15,0.6093958,-1.893657,7.517302
3,16,0.7142881,-1.845923,8.018889
3,17,0.8851734,-1.761292,8.518189
3,18,1.139831,-1.580399,9.024442
3,19,1.124415,-1.593245,9.519997
4,0,1.752994,-1.714273,-0.02265441
4,1,1.76496,-1.695581,0.4745706
4,2,1.633183,-1.910299,0.9796357
4,3,1.521689,-2.063263,1.477926
4,4,1.438357,-2.170814,1.978413
4,5,1.379465,-2.24747,2.480572
4,6,1.339078,-2.302364,2.983887
4,7,1.312401,-2.3406,3.487992
4,8,1.296202,-2.364933,3.992601
4,9,1.288554,-2.376796,4.497521
4,10,1.288554,-2.376796,5.00248
4,11,1.296202,-2.364933,5.507402
4,12,1.312401,-2.3406,6.012011
4,13,1.339078,-2.302364,6.516116
4,14,1.379465,-2.24747,7.019427
4,15,1.438356,-2.170815,7.521586
4,16,1.521689,-2.063263,8.022065
4,17,1.633183,-1.910298,8.520364
4,18,1.76496,-1.695581,9.025426
4,19,1.752994,-1.714272,9.522654
5,0,2.344602,-1.764806,-0.02315878
5,1,2.352802,-1.742717,0.4753016
5,2,2.283336,-1.947428,0.9803249
5,3,2.218981,-2.113257,1.478945
5,4,2.165734,-2.242442,1.979234
5,5,2.124851,-2.340521,2.481034
5,6,2.095107,-2.413095,2.984055
5,7,2.074663,-2.464385,3.487983
5,8,2.061939,-2.497198,3.992544
5,9,2.055846,-2.513213,4.497481
5,10,2.055846,-2.513213,5.002519
5,11,2.061939,-2.497198,5.507456
5,12,2.074663,-2.464384,6.012015
5,13,2.095107,-2.413095,6.515945
5,14,2.124851,-2.340522,7.018966
5,15,2.165734,-2.242443,7.520765
5,16,2.218981,-2.113256,8.021059
5,17,2.283336,-1.947428,8.51967
5,18,2.352802,-1.742717,9.024699
5,19,2.344602,-1.764805,9.52316
6,0,2.914064,-1.787519,-0.02304669
6,1,2.918812,-1.76353,0.4761415
6,2,2.884438,-1.956649,0.981257
6,3,2.851317,-2.121747,1.480257
6,4,2.822449,-2.257218,1.980591
6,5,2.799193,-2.364263,2.482218
6,6,2.781616,-2.445609,2.984972
6,7,2.769212,-2.504027,3.48862
6,8,2.76136,-2.541736,3.992914
6,9,2.75756,-2.560223,4.497595
6,10,2.75756,-2.560223,5.002405
6,11,2.76136,-2.541736,5.507087
6,12,2.769212,-2.504027,6.01138
6,13,2.781616,-2.445609,6.515028
6,14,2.799193,-2.364263,7.017782
6,15,2.822449,-2.257218,7.519409
6,16,2.851317,-2.121747,8.019744
6,17,2.884439,-1.956648,8.518744
6,18,2.918813,-1.76353,9.023857
6,19,2.914064,-1.787518,9.523047
7,0,3.472466,-1.796525,-0.02289195
7,1,3.474021,-1.771672,0.4766287
7,2,3.46358,-1.958483,0.9818035
7,3,3.453369,-2.12156,1.481012
7,4,3.444266,-2.258362,1.981398
7,5,3.436773,-2.368501,2.482962
7,6,3.431005,-2.45335,2.985576
7,7,3.426879,-2.514833,3.489057
7,8,3.424245,-2.554739,3.993175
7,9,3.422965,-2.574356,4.497684
7,10,3.422965,-2.574355,5.002316
7,11,3.424245,-2.554739,5.506822
7,12,3.42688,-2.514833,6.010942
7,13,3.431005,-2.45335,6.514425
7,14,3.436773,-2.368501,7.017038
7,15,3.444266,-2.258362,7.518601
7,16,3.453369,-2.121559,8.018991
7,17,3.46358,-1.958485,8.518192
7,18,3.474021,-1.771671,9.023376
7,19,3.472466,-1.796525,9.522893
8,0,4.027533,-1.796525,-0.02289196
8,1,4.025979,-1.771672,0.4766287
8,2,4.036414,-1.958483,0.9818035
8,3,4.046632,-2.12156,1.481012
8,4,4.055725,-2.258362,1.981398
8,5,4.063227,-2.368501,2.482962
8,6,4.06899,-2.45335,2.985576
8,7,4.073122,-2.514833,3.489057
8,8,4.075757,-2.554739,3.993175
8,9,4.077034,-2.574356,4.497684
8,10,4.077034,-2.574355,5.002316
8,11,4.075757,-2.554739,5.506822
8,12,4.073122,-2.514833,6.010942
8,13,4.06899,-2.45335,6.514425
8,14,4.063227,-2.368501,7.017038
8,15,4.055725,-2.258362,7.518601
8,16,4.046632,-2.121559,8.018991
8,17,4.036414,-1.958485,8.518192
8,18,4.025979,-1.771671,9.023376
8,19,4.027533,-1.796525,9.522893
9,0,4.585941,-1.787519,-0.02304669
9,1,4.581189,-1.76353,0.4761415
9,2,4.615563,-1.956649,0.9812571
9,3,4.648684,-2.121747,1.480257
9,4,4.677555,-2.257218,1.980591
9,5,4.700808,-2.364263,2.482218
9,6,4.718381,-2.445609,2.984972
9,7,4.730788,-2.504027,3.48862
9,8,4.73864,-2.541736,3.992914
9,9,4.742438,-2.560223,4.497595
9,10,4.742438,-2.560223,5.002405
9,11,4.73864,-2.541736,5.507087
9,12,4.730788,-2.504027,6.01138
9,13,4.718381,-2.445609,6.515028
9,14,4.700808,-2.364263,7.017782
9,15,4.677555,-2.257218,7.519409
9,16,4.648684,-2.121747,8.019744
9,17,4.615563,-1.956648,8.518744
9,18,4.581189,-1.76353,9.023857
9,19,4.585941,-1.787518,9.523047
10,0,5.155403,-1.764806,-0.02315879
10,1,5.147186,-1.742718,0.4753017
10,2,5.216666,-1.947428,0.9803249
10,3,5.281011,-2.113257,1.478945
10,4,5.334265,-2.242443,1.979234
10,5,5.375151,-2.340521,2.481034
10,6,5.40489,-2.413095,2.984055
10,7,5.425333,-2.464384,3.487983
10,8,5.438053,-2.497198,3.992544
10,9,5.444153,-2.513214,4.497481
10,10,5.444154,-2.513214,5.002519
10,11,5.438053,-2.497198,5.507456
10,12,5.425333,-2.464384,6.012015
10,13,5.40489,-2.413095,6.515945
10,14,5.375151,-2.340521,7.018966
10,15,5.334265,-2.242443,7.520765
10,16,5.281011,-2.113256,8.021059
10,17,5.216666,-1.947428,8.51967
10,18,5.147186,-1.742717,9.024699
10,19,5.155402,-1.764805,9.52316
11,0,5.747006,-1.714273,-0.02265443
11,1,5.735042,-1.69558,0.4745706
11,2,5.866824,-1.910298,0.9796357
11,3,5.978318,-2.063262,1.477926
11,4,6.061645,-2.170814,1.978413
11,5,6.120527,-2.247471,2.480572
11,6,6.160918,-2.302365,2.983887
11,7,6.187601,-2.3406,3.487992
11,8,6.203796,-2.364933,3.992601
11,9,6.211443,-2.376796,4.497521
11,10,6.211443,-2.376796,5.002479
11,11,6.203796,-2.364933,5.507402
11,12,6.187601,-2.3406,6.012011
11,13,6.160918,-2.302365,6.516116
11,14,6.120527,-2.247471,7.019427
11,15,6.061646,-2.170814,7.521586
11,16,5.978318,-2.063263,8.022065
11,17,5.866824,-1.910297,8.520364
11,18,5.735042,-1.695581,9.025426
11,19,5.747006,-1.714273,9.522655
12,0,6.375585,-1.593246,-0.01999992
12,1,6.360168,-1.580401,0.4755586
12,2,6.614822,-1.761295,0.9818162
12,3,6.785707,-1.845924,1.481119
12,4,6.890605,-1.893656,1.982696
12,5,6.955557,-1.9262,2.485254
12,6,6.996505,-1.950313,2.988243
12,7,7.022166,-1.967981,3.491465
12,8,7.037243,-1.97972,3.994829
12,9,7.044255,-1.985587,4.498271
12,10,7.044256,-1.985587,5.001729
12,11,7.037244,-1.979719,5.505168
12,12,7.022166,-1.967981,6.008527
12,13,6.996504,-1.950313,6.511756
12,14,6.955557,-1.926199,7.01475
12,15,6.890606,-1.893656,7.517302
12,16,6.785706,-1.845923,8.018889
12,17,6.61482,-1.761294,8.518189
12,18,6.360168,-1.5804,9.024442
12,19,6.375584,-1.593246,9.519997
13,0,7.00137,-1.255398,-0.011675
13,1,6.984691,-1.250129,0.4843301
13,2,7.343823,-1.135711,0.9975353
13,3,7.437267,-1.046915,1.50332
13,4,7.467716,-1.009058,2.005998
13,5,7.479828,-0.9954254,2.506572
13,6,7.485231,-0.9926005,3.005956
13,7,7.487766,-0.9940382,3.504644
13,8,7.488941,-0.9964049,4.00293
13,9,7.489414,-0.9979521,4.501009
13,10,7.489413,-0.9979515,4.998991
13,11,7.488942,-0.9964034,5.497066
13,12,7.487766,-0.994038,5.995352
13,13,7.48523,-0.9926017,6.494046
13,14,7.479829,-0.9954253,6.993429
13,15,7.467717,-1.009057,7.494001
13,16,7.437268,-1.046913,7.996672
13,17,7.343826,-1.135709,8.502453
13,18,6.984684,-1.250129,9.015673
13,19,7.001364,-1.255398,9.511681
14,0,7.007731,-0.7298098,-0.005011941
14,1,7.009992,-0.7088007,0.4955301
14,2,7.008748,-0.7470606,0.9973722
14,3,7.007474,-0.782416,1.497439
14,4,7.006227,-0.8141887,1.997598
14,5,7.00508,-0.8416906,2.497856
14,6,7.004087,-0.8643488,2.99821
14,7,7.003297,-0.881716,3.498652
14,8,7.002751,-0.8934678,3.999161
14,9,7.002472,-0.899395,4.499722
14,10,7.002472,-0.8993951,5.000278
14,11,7.002751,-0.8934678,5.500839
