X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.5135993,0.07774066,-0.007504338
0,1,0.5302391,0.05725053,0.4951013
0,2,0.8682548,-0.1787097,0.9773595
0,3,0.9600483,-0.3873598,1.465234
0,4,0.9881058,-0.5327378,1.960799
0,5,0.9980817,-0.6386763,2.461363
0,6,1.003393,-0.7238337,2.965181
0,7,1.007165,-0.7957067,3.472169
0,8,1.010091,-0.8574912,3.98371
0,9,1.009091,-0.902555,4.495368
0,10,1.009091,-0.9025552,5.004632
0,11,1.010091,-0.8574913,5.516288
0,12,1.007165,-0.7957067,6.027833
0,13,1.003393,-0.723834,6.534816
0,14,0.9980813,-0.6386756,7.03864
0,15,0.9881055,-0.5327374,7.539202
0,16,0.9600482,-0.3873595,8.034763
0,17,0.8682548,-0.1787102,8.522647
0,18,0.5302445,0.0572499,9.00489
0,19,0.5135902,0.07774142,9.507514
1,0,0.5012059,-0.4551909,-0.02453745
1,1,0.4980659,-0.4550192,0.4754801
1,2,0.4964005,-0.5207838,0.9776403
1,3,0.4945823,-0.5849917,1.479048
1,4,0.4933111,-0.6471059,1.981049
1,5,0.4926305,-0.7065001,2.483685
1,6,0.4925878,-0.7627224,2.986965
1,7,0.493246,-0.815492,3.490864
1,8,0.4946701,-0.8646827,3.995315
1,9,0.4969182,-0.9102254,4.498836
1,10,0.4969182,-0.9102255,5.001164
1,11,0.4946701,-0.8646827,5.504684
1,12,0.493246,-0.815492,6.009136
1,13,0.4925878,-0.7627224,6.513035
1,14,0.4926305,-0.7065001,7.016314
1,15,0.4933111,-0.6471058,7.518952
1,16,0.4945823,-0.5849917,8.02095
1,17,0.4964005,-0.5207837,8.522361
1,18,0.4980659,-0.4550192,9.024523
1,19,0.5012059,-0.455191,9.52453
2,0,0.4837555,-1.009585,-0.04140482
2,1,0.5024888,-1.029359,0.4548274
2,2,0.1553919,-0.930802,0.9776185
2,3,0.06415371,-0.8688539,1.489807
2,4,0.03346562,-0.8603537,1.997419
2,5,0.02223921,-0.8816769,2.502034
2,6,0.01828376,-0.9164678,3.004965
2,7,0.01791402,-0.9580669,3.506314
2,8,0.01842319,-1.002547,4.004548
2,9,0.01661957,-1.036652,4.501139
2,10,0.01661959,-1.036652,4.998861
2,11,0.01842348,-1.002547,5.495445
2,12,0.01791418,-0.9580666,5.993684
2,13,0.01828375,-0.9164677,6.495035
2,14,0.0222392,-0.8816779,6.997968
2,15,0.03346578,-0.8603536,7.502575
2,16,0.06415419,-0.868854,8.010188
2,17,0.1553917,-0.9308015,8.522381
2,18,0.5024888,-1.029359,9.045172
2,19,0.483748,-1.009586,9.541393
3,0,1.111785,-1.387292,-0.05895505
3,1,1.128146,-1.399403,0.4383322
3,2,0.8800502,-1.596054,0.944577
3,3,0.7157722,-1.705979,1.445659
3,4,0.6131556,-1.783617,1.950194
3,5,0.5561797,-1.847324,2.45633
3,6,0.5239143,-1.905946,2.964304
3,7,0.5076614,-1.960276,3.474344
3,8,0.5058146,-2.007479,3.986626
3,9,0.509746,-2.034503,4.496719
3,10,0.5097458,-2.034503,5.003281
3,11,0.5058144,-2.007479,5.513379
3,12,0.5076615,-1.960276,6.02566
3,13,0.5239144,-1.905946,6.535695
3,14,0.5561799,-1.847324,7.043674
3,15,0.6131557,-1.783617,7.549805
3,16,0.7157731,-1.705978,8.054346
3,17,0.8800503,-1.596054,8.555425
3,18,1.128145,-1.399405,9.061662
3,19,1.111785,-1.387293,9.558953
4,0,1.750011,-1.530033,-0.0636939
4,1,1.762457,-1.537352,0.4360661
4,2,1.632853,-1.780065,0.9407375
4,3,1.525102,-1.959689,1.439774
4,4,1.443117,-2.097259,1.942757
4,5,1.393313,-2.201722,2.449021
4,6,1.362859,-2.286887,2.958634
4,7,1.347239,-2.35711,3.47101
4,8,1.342601,-2.397968,3.985269
4,9,1.340061,-2.412455,4.496505
4,10,1.340061,-2.412455,5.003495
4,11,1.342601,-2.397968,5.514733
4,12,1.347239,-2.357109,6.028993
4,13,1.362859,-2.286887,6.541365
4,14,1.393313,-2.201722,7.050982
4,15,1.443117,-2.09726,7.55724
4,16,1.525102,-1.95969,8.060225
4,17,1.632854,-1.780064,8.559267
4,18,1.762456,-1.537353,9.06393
4,19,1.750011,-1.530034,9.563691
5,0,2.348308,-1.609851,-0.0635837
5,1,2.356286,-1.614889,0.4380637
5,2,2.289617,-1.85166,0.9432403
5,3,2.228732,-2.047152,1.442908
5,4,2.176821,-2.208139,1.94595
5,5,2.144861,-2.330734,2.452186
5,6,2.125927,-2.429982,2.961434
5,7,2.116448,-2.494714,3.472744
5,8,2.109741,-2.531223,3.986275
5,9,2.10689,-2.5483,4.496866
5,10,2.10689,-2.548299,5.003134
5,11,2.109741,-2.531223,5.51372
5,12,2.116448,-2.494714,6.027256
5,13,2.125927,-2.429982,6.538567
5,14,2.144861,-2.330736,7.047804
5,15,2.176821,-2.208139,7.554045
5,16,2.228732,-2.047151,8.057094
5,17,2.289617,-1.851658,8.556767
5,18,2.356286,-1.614889,9.061938
5,19,2.348307,-1.609851,9.563583
6,0,2.927889,-1.649443,-0.06307659
6,1,2.931794,-1.6525,0.4395226
6,2,2.90317,-1.877222,0.9448503
6,3,2.876231,-2.074411,1.445228
6,4,2.852664,-2.243915,1.949018
6,5,2.835302,-2.381166,2.455542
6,6,2.829,-2.477298,2.963911
6,7,2.822426,-2.538891,3.474456
6,8,2.818685,-2.57863,3.987407
6,9,2.816989,-2.597405,4.497257
6,10,2.816989,-2.597405,5.002743
6,11,2.818685,-2.57863,5.512591
6,12,2.822426,-2.538892,6.025542
6,13,2.829,-2.477298,6.536089
6,14,2.835302,-2.381166,7.044458
6,15,2.852664,-2.243915,7.550986
6,16,2.876232,-2.074409,8.054779
6,17,2.903168,-1.877226,8.555136
6,18,2.931794,-1.652501,9.060469
6,19,2.927886,-1.649393,9.563085
7,0,3.5,-1.645754,-0.06345607
7,1,3.5,-1.649373,0.4395384
7,2,3.5,-1.876103,0.945475
7,3,3.5,-2.077139,1.446434
7,4,3.5,-2.251145,1.95074
7,5,3.5,-2.399071,2.457052
7,6,3.5,-2.486344,2.964716
7,7,3.5,-2.549521,3.475137
7,8,3.5,-2.59032,3.987837
7,9,3.5,-2.609665,4.497359
7,10,3.5,-2.609665,5.002641
7,11,3.5,-2.59032,5.512162
7,12,3.5,-2.549521,6.024865
7,13,3.5,-2.486344,6.535281
7,14,3.5,-2.399071,7.042948
7,15,3.5,-2.251145,7.549259
7,16,3.5,-2.077137,8.053572
7,17,3.5,-1.8761,8.554528
7,18,3.5,-1.649372,9.060466
7,19,3.5,-1.645754,9.563457
8,0,4.072108,-1.649443,-0.06307659
8,1,4.0682,-1.652501,0.4395226
8,2,4.096835,-1.877222,0.9448502
8,3,4.123769,-2.074411,1.445228
8,4,4.147339,-2.243915,1.949018
8,5,4.164701,-2.381166,2.455542
8,6,4.171003,-2.477298,2.963911
8,7,4.177566,-2.538892,3.474456
8,8,4.18131,-2.57863,3.987407
8,9,4.183011,-2.597406,4.497257
8,10,4.183011,-2.597406,5.002743
8,11,4.18131,-2.57863,5.512591
8,12,4.177566,-2.538892,6.025542
8,13,4.171003,-2.477298,6.536089
8,14,4.164701,-2.381166,7.044458
8,15,4.147339,-2.243915,7.550986
8,16,4.123768,-2.074409,8.054779
8,17,4.096836,-1.877226,8.555136
8,18,4.0682,-1.652502,9.060469
8,19,4.072108,-1.649442,9.56308
9,0,4.651692,-1.609851,-0.0635837
9,1,4.64371,-1.614889,0.4380637
9,2,4.710381,-1.85166,0.9432402
9,3,4.771265,-2.047152,1.442907
9,4,4.823181,-2.208139,1.94595
9,5,4.855133,-2.330734,2.452186
9,6,4.874074,-2.429982,2.961433
9,7,4.883554,-2.494714,3.472744
9,8,4.890265,-2.531222,3.986275
9,9,4.893113,-2.548299,4.496866
9,10,4.893113,-2.548299,5.003134
9,11,4.890265,-2.531222,5.51372
9,12,4.883554,-2.494715,6.027256
9,13,4.874074,-2.429982,6.538567
9,14,4.855135,-2.330737,7.047804
9,15,4.823181,-2.208139,7.554045
9,16,4.771265,-2.047151,8.057094
9,17,4.710381,-1.851658,8.556768
9,18,4.64371,-1.614889,9.061938
9,19,4.651692,-1.609851,9.563583
10,0,5.249984,-1.530034,-0.06369396
10,1,5.237546,-1.537351,0.4360658
10,2,5.36715,-1.780065,0.9407372
10,3,5.474902,-1.959689,1.439774
10,4,5.556882,-2.09726,1.942757
10,5,5.606682,-2.201724,2.449021
10,6,5.637136,-2.286887,2.958634
10,7,5.652763,-2.357109,3.47101
10,8,5.657402,-2.397967,3.985269
10,9,5.659935,-2.412456,4.496505
10,10,5.659935,-2.412456,5.003495
10,11,5.657402,-2.397967,5.514733
10,12,5.652763,-2.357109,6.028993
10,13,5.637136,-2.286887,6.541366
10,14,5.606682,-2.201723,7.050982
10,15,5.556882,-2.09726,7.55724
10,16,5.474903,-1.959689,8.060225
10,17,5.36715,-1.780064,8.559267
10,18,5.237546,-1.537353,9.06393
10,19,5.249986,-1.530034,9.563691
11,0,5.88822,-1.387292,-0.05895491
11,1,5.871847,-1.399405,0.438332
11,2,6.11995,-1.596054,0.9445766
11,3,6.284229,-1.705979,1.445659
11,4,6.386841,-1.783621,1.950195
11,5,6.443826,-1.847322,2.45633
11,6,6.476086,-1.905947,2.964304
11,7,6.492333,-1.96028,3.474344
11,8,6.494181,-2.007481,3.986627
11,9,6.490254,-2.034503,4.496719
11,10,6.490254,-2.034503,5.003281
11,11,6.494181,-2.007481,5.513378
11,12,6.492333,-1.96028,6.02566
11,13,6.476085,-1.905948,6.535696
11,14,6.443824,-1.847323,7.043674
11,15,6.38684,-1.783621,7.549804
11,16,6.284227,-1.705979,8.054346
11,17,6.11995,-1.596053,8.555425
11,18,5.871849,-1.399407,9.061663
11,19,5.888221,-1.387292,9.558953
12,0,6.516241,-1.009586,-0.04140462
12,1,6.497505,-1.029363,0.4548271
12,2,6.844603,-0.9308054,0.9776179
12,3,6.935845,-0.8688464,1.489806
12,4,6.966535,-0.8603616,1.997418
12,5,6.977762,-0.8816873,2.502033
12,6,6.98172,-0.9164682,3.004964
12,7,6.982084,-0.9580699,3.506315
12,8,6.981577,-1.002547,4.00455
12,9,6.983379,-1.036654,4.501139
12,10,6.983378,-1.036654,4.998861
12,11,6.981576,-1.002547,5.495445
12,12,6.982085,-0.9580707,5.993683
12,13,6.98172,-0.9164682,6.495036
12,14,6.977762,-0.8816878,6.997969
12,15,6.966535,-0.8603611,7.502575
12,16,6.935845,-0.8688462,8.010189
12,17,6.844604,-0.9308052,8.522382
12,18,6.497504,-1.029363,9.045172
12,19,6.516251,-1.009587,9.541393
13,0,6.498794,-0.4551906,-0.02453745
13,1,6.501934,-0.4550193,0.4754801
13,2,6.503599,-0.5207838,0.9776403
13,3,6.505416,-0.5849919,1.479048
13,4,6.506691,-0.6471059,1.981049
13,5,6.507375,-0.7064998,2.483685
13,6,6.507415,-0.7627224,2.986965
13,7,6.506754,-0.8154922,3.490864
13,8,6.505331,-0.8646827,3.995315
13,9,6.503082,-0.9102253,4.498836
13,10,6.503082,-0.9102254,5.001164
13,11,6.505331,-0.8646827,5.504684
13,12,6.506754,-0.8154921,6.009136
13,13,6.507415,-0.7627224,6.513035
13,14,6.507375,-0.7064998,7.016314
13,15,6.506691,-0.6471058,7.518952
13,16,6.505416,-0.5849918,8.02095
13,17,6.503599,-0.5207837,8.522361
13,18,6.501934,-0.4550193,9.024523
13,19,6.498794,-0.4551908,9.52453
14,0,6.486402,0.07774027,-0.007504622
14,1,6.469762,0.05725295,0.4951016
14,2,6.131743,-0.1787075,0.9773601
14,3,6.039949,-0.3873649,1.465235
14,4,6.011895,-0.5327461,1.960798
14,5,6.001921,-0.6386857,2.461362
14,6,5.996611,-0.7238367,2.965181
14,7,5.992834,-0.7957025,3.472168
14,8,5.989909,-0.857495,3.98371
14,9,5.990908,-0.9025564,4.495368
14,10,5.990907,-0.9025564,5.004632
14,11,5.989908,-0.8574948,5.516288
14,12,5.992834,-0.7957026,6.027833
14,13,5.99661,-0.7238371,6.534815
14,14,6.001923,-0.6386833,7.038641
14,15,6.011896,-0.532746,7.539202
14,16,6.03995,-0.3873646,8.034761
14,17,6.131744,-0.1787067,8.522646
14,18,6.469756,0.05725227,9.004889
14,19,6.486411,0.07774135,9.507514
