X Grid Position, Y  Grid Position, VecX, VecY, VecZ
0,0,0.5112116,-0.1014324,-0.002774086
0,1,0.5255832,-0.1205638,0.5022126
0,2,0.8633386,-0.3411758,0.987538
0,3,0.957351,-0.5440037,1.477681
0,4,0.9887388,-0.6845713,1.97601
0,5,0.9984355,-0.7830784,2.476572
0,6,1.005255,-0.8384864,2.979654
0,7,1.009117,-0.8747209,3.485937
0,8,1.010762,-0.897544,3.991572
0,9,1.011446,-0.9086775,4.497181
0,10,1.011446,-0.9086776,5.002819
0,11,1.010762,-0.897544,5.508429
0,12,1.009117,-0.8747214,6.01406
0,13,1.005255,-0.8384871,6.520344
0,14,0.9984354,-0.7830783,7.023427
0,15,0.9887388,-0.6845712,7.523992
0,16,0.9573516,-0.5440046,8.022313
0,17,0.8633389,-0.3411761,8.51246
0,18,0.5255854,-0.1205643,8.997782
0,19,0.511216,-0.101433,9.502766
1,0,0.4924616,-0.6358544,-0.01706544
1,1,0.4882845,-0.6357267,0.4858222
1,2,0.4876885,-0.7015221,0.9895155
1,3,0.4877071,-0.7658089,1.491478
1,4,0.4883665,-0.8279912,1.993898
1,5,0.490772,-0.8874634,2.49478
1,6,0.4915301,-0.9132945,2.994918
1,7,0.4921286,-0.9331126,3.496198
1,8,0.4925403,-0.9465062,3.997647
1,9,0.4927508,-0.9532548,4.499206
1,10,0.4927508,-0.9532548,5.000794
1,11,0.4925404,-0.9465063,5.502353
1,12,0.4921286,-0.9331126,6.003803
1,13,0.4915301,-0.9132945,6.505081
1,14,0.490772,-0.8874634,7.005218
1,15,0.4883665,-0.8279912,7.506103
1,16,0.4877071,-0.7658089,8.008521
1,17,0.4876885,-0.7015222,8.510483
1,18,0.4882845,-0.6357267,9.014179
1,19,0.4924616,-0.6358544,9.517066
2,0,0.5021832,-1.175018,-0.03263631
2,1,0.5200959,-1.193914,0.4651206
2,2,0.1665692,-1.104245,0.9877394
2,3,0.07449111,-1.04621,1.499801
2,4,0.04413947,-1.040337,2.00545
2,5,0.02963221,-1.059145,2.506783
2,6,0.02429314,-1.070719,3.006227
2,7,0.02099944,-1.073457,3.50401
2,8,0.01906528,-1.076613,4.002339
2,9,0.01822168,-1.078599,4.50077
2,10,0.01822156,-1.078599,4.99923
2,11,0.01906528,-1.076613,5.497663
2,12,0.02099916,-1.073457,5.995991
2,13,0.02429269,-1.070718,6.493771
2,14,0.02963225,-1.059145,6.993216
2,15,0.04413937,-1.040337,7.494547
2,16,0.07449082,-1.04621,8.000199
2,17,0.1665681,-1.104244,8.512255
2,18,0.5200971,-1.193913,9.034877
2,19,0.5021833,-1.175018,9.532635
3,0,1.133259,-1.528243,-0.04757095
3,1,1.148471,-1.539979,0.4511753
3,2,0.9007776,-1.744303,0.9584816
3,3,0.7376816,-1.85557,1.460971
3,4,0.6395859,-1.933386,1.967447
3,5,0.5829426,-1.984445,2.471786
3,6,0.5443584,-2.017275,2.976401
3,7,0.519163,-2.039935,3.483761
3,8,0.5039333,-2.054363,3.990469
3,9,0.4967691,-2.06145,4.496848
3,10,0.4967689,-2.06145,5.003152
3,11,0.5039333,-2.054363,5.509529
3,12,0.519163,-2.039935,6.016237
3,13,0.5443582,-2.017275,6.523602
3,14,0.5829427,-1.984445,7.028216
3,15,0.6395864,-1.933386,7.532557
3,16,0.7376804,-1.855571,8.039015
3,17,0.9007787,-1.744302,8.54151
3,18,1.148473,-1.539978,9.048826
3,19,1.13326,-1.528242,9.547573
4,0,1.761514,-1.672196,-0.05001063
4,1,1.772205,-1.679422,0.4514259
4,2,1.645618,-1.915107,0.9569438
4,3,1.542387,-2.090722,1.457122
4,4,1.469555,-2.21267,1.96096
4,5,1.418062,-2.296728,2.463837
4,6,1.382503,-2.358737,2.96839
4,7,1.358399,-2.402014,3.477293
4,8,1.343472,-2.42938,3.986367
4,9,1.336331,-2.442663,4.49545
4,10,1.33633,-2.442663,5.00455
4,11,1.343472,-2.42938,5.513638
4,12,1.358399,-2.402014,6.022707
4,13,1.382503,-2.358737,6.531612
4,14,1.418062,-2.296728,7.036165
4,15,1.469555,-2.212669,7.539033
4,16,1.542386,-2.090723,8.042875
4,17,1.645617,-1.915109,8.543049
4,18,1.772205,-1.679423,9.048571
4,19,1.761514,-1.672197,9.550011
5,0,2.3567,-1.734724,-0.04993622
5,1,2.362893,-1.739646,0.4532416
5,2,2.299019,-1.967514,0.9591577
5,3,2.244507,-2.150787,1.459191
5,4,2.199363,-2.28712,1.961995
5,5,2.165284,-2.390852,2.464015
5,6,2.140771,-2.46885,2.967856
5,7,2.123718,-2.524309,3.476392
5,8,2.112988,-2.559761,3.985617
5,9,2.107808,-2.577044,4.495173
5,10,2.107808,-2.577044,5.004827
5,11,2.112988,-2.559761,5.51438
5,12,2.123718,-2.52431,6.023606
5,13,2.140771,-2.468851,6.532142
5,14,2.165284,-2.390852,7.035986
5,15,2.199363,-2.28712,7.538008
5,16,2.244507,-2.150788,8.040805
5,17,2.299019,-1.967515,8.540839
5,18,2.362893,-1.739647,9.046758
5,19,2.356701,-1.734723,9.549942
6,0,2.932871,-1.766431,-0.04865184
6,1,2.93508,-1.770388,0.4554484
